S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
-2.69756227083726e-06,-1.26223337854568e-06,-1.31944992374907e-06,-3.93652951797102e-07,-5.35836790414196e-06,-8.75603852347103e-07,-1.3726883610415e-06,-1.99272299957275e-07,2.09931982757301e-08,2.94821106173381e-07,5.354875081598e-06,-1.70726594575196e-08,-1.27293552936333e-06,-4.15174429439625e-07,-2.03353487263751e-06,-1.80938441225831e-06,4.5525329029511e-06,-8.00589629893434e-07,-1.88833643644824e-06,9.2705854198463e-07,-3.45720682965031e-06,-2.43032263246882e-07,-5.3277351019348e-06,1.50260510606852e-06,-5.60640917346211e-06,1.84390607580091e-06,-4.81023904936466e-06,4.19462373484243e-06,-1.37955431487192e-06,-1.21675973617295e-06,-4.20287293511202e-06,2.24597168690895e-06,3.97494093420006e-07,-4.85711191841351e-07,-1.6602780190949e-06,-1.35039812169741e-07,2.27140973762551e-06,1.32930908359427e-07,2.70285389145673e-06,1.06702479675048e-06,1.63498233020158e-06,-6.8660246360414e-07,8.11348938454701e-07,-4.6127719978641e-07,3.9424036544112e-06,-3.16695349892497e-06,1.51100588069168e-06,-9.05821343712453e-07,3.4313340565086e-06,-3.95229080412046e-06,2.75249645146645e-06,-2.43135307926193e-06,1.90231186088148e-06,-2.45666919586849e-08,1.42930970190456e-06,5.67011719367052e-07,-6.35830183965136e-09,8.2089138799758e-07,2.65542214089183e-06,5.52267675806304e-07,3.98879390589612e-05,-0.000103324919321238,9.615031529586e-07,7.06665155156582e-07,1.22416003075849e-06,-4.00626372208132e-07,-1.35233801818052e-07,-5.90196507308663e-08,4.47218291570001e-06,-4.21271222192536e-06,1.46766008956576e-06,-1.35191115621685e-06
-2.74271552834737e-06,-1.27022157813304e-06,-1.32286592253998e-06,-3.78156751154407e-07,-5.39759664532259e-06,-8.65702499846705e-07,-1.3617043023582e-06,-1.8057395989427e-07,-1.23565486163034e-08,2.89717915334511e-07,5.36016694920836e-06,-2.46258223499889e-08,-1.33027372229207e-06,-4.33007192620734e-07,-1.93891217475478e-06,-1.76777269124648e-06,4.53849619661078e-06,-7.87678708257522e-07,-1.86935473291152e-06,9.26018804755312e-07,-3.46315787119605e-06,-2.66778224338989e-07,-5.42146342599527e-06,1.59781994442758e-06,-5.65823389044522e-06,1.88643504463659e-06,-4.86165328310042e-06,4.36408156776325e-06,-1.46399792656171e-06,-1.22941855635009e-06,-4.16465673864059e-06,2.16210368898586e-06,3.88597053025623e-07,-4.74356864470245e-07,-1.61611140052115e-06,-9.64025177740711e-08,2.30275852342e-06,1.42725827197749e-07,2.76902408153932e-06,1.091302545412e-06,1.69489167767722e-06,-5.96037153471304e-07,7.61268518721514e-07,-4.08767520994741e-07,4.11129919445664e-06,-3.1934077858733e-06,1.53173396756546e-06,-9.22386047181542e-07,3.34472271784166e-06,-4.02984611368562e-06,2.71140945846164e-06,-2.38968207589165e-06,1.93889927519718e-06,-6.086811485173e-09,1.44588469745372e-06,6.14215889985293e-07,1.84658176525346e-08,8.85255379679821e-07,2.70110907915037e-06,5.85074577252687e-07,4.03468558526855e-05,-0.000104912230220285,9.61355866360799e-07,7.32607349567499e-07,1.16596308581281e-06,-4.12844962795341e-07,-1.60731770816126e-07,-7.13138481987724e-08,4.51599642306357e-06,-4.25213753664823e-06,1.54552171325985e-06,-1.44465643016515e-06
-2.78421446608527e-06,-1.27828960590196e-06,-1.32401075754006e-06,-3.62417851066739e-07,-5.43364249782626e-06,-8.55563888310105e-07,-1.34646605979128e-06,-1.61318626457355e-07,-4.37405302531819e-08,2.84119660607381e-07,5.36644858905737e-06,-3.2637205773688e-08,-1.38501813503432e-06,-4.50489394097433e-07,-1.83628610705412e-06,-1.72299067813074e-06,4.52256374647495e-06,-7.74266512407268e-07,-1.84647474724935e-06,9.22648407171929e-07,-3.46454691750847e-06,-2.91174182288179e-07,-5.50612410574593e-06,1.68956603429203e-06,-5.70786109383627e-06,1.93044164409451e-06,-4.89805772064455e-06,4.5207107770022e-06,-1.54559846890288e-06,-1.2426450107704e-06,-4.11777503584387e-06,2.07141399108549e-06,3.81057348610947e-07,-4.62273952754164e-07,-1.56820101860824e-06,-5.68060385906996e-08,2.33370979480461e-06,1.52428786725187e-07,2.84008214426727e-06,1.11445991898677e-06,1.75709500350652e-06,-5.05436120503087e-07,7.15575575736591e-07,-3.57752156118661e-07,4.28806143145575e-06,-3.2243139047408e-06,1.55323769488895e-06,-9.38324580150054e-07,3.25683512734737e-06,-4.1063581735245e-06,2.67493220388116e-06,-2.34741345159894e-06,1.97661430129404e-06,1.29033515266458e-08,1.46384202638813e-06,6.60785880961107e-07,4.8478899168002e-08,9.483611025711e-07,2.7501288110746e-06,6.17569710874459e-07,4.07871503231287e-05,-0.000106448308741998,9.64298858671113e-07,7.58625472216438e-07,1.10935459100883e-06,-4.25082076719984e-07,-1.83802152446035e-07,-8.34418991392784e-08,4.56121098844774e-06,-4.28730442766148e-06,1.62983831162264e-06,-1.53728736949891e-06
-2.82178276947045e-06,-1.28643544352171e-06,-1.32279409809108e-06,-3.46492675593396e-07,-5.46623984101189e-06,-8.45181478746686e-07,-1.3268832696145e-06,-1.41578202312132e-07,-7.2941431060703e-08,2.77980868757529e-07,5.3738447010219e-06,-4.10989554759644e-08,-1.43690091111803e-06,-4.67601299386024e-07,-1.72571502899899e-06,-1.6751187979042e-06,4.50475343693255e-06,-7.60362917751277e-07,-1.81966545978679e-06,9.16959173761519e-07,-3.46125344705745e-06,-3.16150255818975e-07,-5.58124510600017e-06,1.77755172534444e-06,-5.75508705406394e-06,1.97584712474086e-06,-4.91898640267986e-06,4.66376819596969e-06,-1.62396495657376e-06,-1.25636903795388e-06,-4.06198930971929e-06,1.97395027962802e-06,3.7508400732557e-07,-4.49490330177527e-07,-1.51644759822897e-06,-1.63650715496559e-08,2.36432928901854e-06,1.61962386407991e-07,2.91623377368511e-06,1.13641212359526e-06,1.82163065691143e-06,-4.15006850292106e-07,6.74521836147621e-07,-3.08345120482555e-07,4.47189788557112e-06,-3.25927359903335e-06,1.57563893449552e-06,-9.53585285683259e-07,3.16811195339304e-06,-4.18153675288781e-06,2.64320482325373e-06,-2.30468691090567e-06,2.01529809628688e-06,3.23818726416598e-08,1.48312247086776e-06,7.06608070158801e-07,8.36376557337461e-08,1.01005415448617e-06,2.80240951885184e-06,6.49677658539574e-07,4.12066016957551e-05,-0.000107925475556322,9.7057622220697e-07,7.8465191606572e-07,1.05468298470691e-06,-4.3727534865388e-07,-2.04214021462728e-07,-9.53871551781099e-08,4.60791379037036e-06,-4.31831268933107e-06,1.72090173633369e-06,-1.62952340053167e-06
-2.85515838752905e-06,-1.29465296092967e-06,-1.3191310750677e-06,-3.30437924786036e-07,-5.49512831444832e-06,-8.3455040482075e-07,-1.30288027466144e-06,-1.21427735257419e-07,-9.97501402383763e-08,2.71256582498184e-07,5.38248729230513e-06,-5.00040384141207e-08,-1.48566291161886e-06,-4.84324203696e-07,-1.6072854226955e-06,-1.62424914570983e-06,4.48510958617687e-06,-7.45976882759076e-07,-1.78890761583092e-06,9.08969487883543e-07,-3.45317304986785e-06,-3.41633582367078e-07,-5.64639333212764e-06,1.86149807743624e-06,-5.79972219413847e-06,2.02256977421668e-06,-4.92407719227425e-06,4.79260458350658e-06,-1.69872237344371e-06,-1.27051786471385e-06,-3.99709812258448e-06,1.86979600509248e-06,3.70871524264031e-07,-4.36036808054692e-07,-1.46077429178155e-06,2.47996037142394e-08,2.39467523569346e-06,1.71248607086311e-07,2.99765084595748e-06,1.15707725919384e-06,1.88851709596063e-06,-3.24955241001933e-07,6.3833596211848e-07,-2.60652612357225e-07,4.66194697653891e-06,-3.29783491802085e-06,1.59904857897267e-06,-9.68118943888067e-07,3.07898535083328e-06,-4.25509219353458e-06,2.61633364641881e-06,-2.26163553080777e-06,2.05478099906109e-06,5.2324600561244e-08,1.50365663344681e-06,7.51569934094453e-07,1.23870133110237e-07,1.07018622326941e-06,2.8578536907217e-06,6.81322758080693e-07,4.16030336845069e-05,-0.000109336144008484,9.80412569828454e-07,8.10618712784647e-07,1.00228560976067e-06,-4.49362050581057e-07,-2.21751213939004e-07,-1.07134033583728e-07,4.65616852001477e-06,-4.34526916188838e-06,1.81896740994561e-06,-1.72108189211606e-06
-2.88409545483726e-06,-1.30293184317953e-06,-1.31294260525978e-06,-3.14310170569505e-07,-5.52005552103957e-06,-8.23667582955941e-07,-1.27439710626519e-06,-1.00945003045822e-07,-1.23967494687721e-07,2.63902711097215e-07,5.39251272544155e-06,-5.93462498593602e-08,-1.53105520319995e-06,-5.00640506295019e-07,-1.48111223918242e-06,-1.57048513183249e-06,4.46370189961394e-06,-7.31116314982786e-07,-1.75419382216508e-06,8.98703950778968e-07,-3.44021851687098e-06,-3.67548631657617e-07,-5.7011771248555e-06,1.94113966076076e-06,-5.84159249752867e-06,2.07052550277654e-06,-4.91307709003072e-06,4.90667107696312e-06,-1.76951363210521e-06,-1.28501649796384e-06,-3.92293965370212e-06,1.75907106568591e-06,3.68598380208047e-07,-4.21947064984221e-07,-1.40112731116753e-06,6.65611876727094e-08,2.42479746603563e-06,1.80209363194208e-07,3.08446897750148e-06,1.17637673499054e-06,1.95775208336264e-06,-2.35484696490493e-07,6.07221675692249e-07,-2.14772230055421e-07,4.85728358300195e-06,-3.33949649760754e-06,1.62356521726271e-06,-9.8187906449976e-07,2.98987547493578e-06,-4.32673670861407e-06,2.59439047770929e-06,-2.21838487712877e-06,2.09488344332797e-06,7.27052967300508e-08,1.52536528175875e-06,7.9556058391921e-07,1.69075759652489e-07,1.12861587691932e-06,2.91633801149049e-06,7.12429512576111e-07,4.19743211011142e-05,-0.000110672855112506,9.94010964976225e-07,8.36457724955966e-07,9.5248627053656e-07,-4.61279680373345e-07,-2.36213936017021e-07,-1.18668145537414e-07,4.70601370903229e-06,-4.36828685033419e-06,1.92425043346274e-06,-1.81167973734268e-06
-2.90836622425266e-06,-1.31125754947146e-06,-1.30415579027933e-06,-2.98165464129729e-07,-5.54077987625016e-06,-8.12531806433646e-07,-1.24139047768548e-06,-8.0210083115993e-08,-1.45406049138758e-07,2.5587637870741e-07,5.40405850467053e-06,-6.91201976648758e-08,-1.5728405552963e-06,-5.16533790736953e-07,-1.34733919097813e-06,-1.51394106784698e-06,4.4406240532486e-06,-7.15787970563893e-07,-1.71552859824747e-06,8.86192974675139e-07,-3.42232088209234e-06,-3.93817528951197e-07,-5.74524860546486e-06,2.01622531258626e-06,-5.8805407991711e-06,2.11962841633419e-06,-4.88584660709928e-06,5.00552470785665e-06,-1.83600144401486e-06,-1.29978824482457e-06,-3.83939393436793e-06,1.64193215251734e-06,3.68425661021811e-07,-4.07257567386346e-07,-1.33747648451347e-06,1.08787009148193e-07,2.4547365792483e-06,1.88767057011405e-07,3.17678523045431e-06,1.19423567445381e-06,2.02931199814353e-06,-1.46795246717137e-07,5.81355990913729e-07,-1.70792295968493e-07,5.05692520425933e-06,-3.3837124944085e-06,1.64927386759569e-06,-9.94822162661845e-07,2.90118703202071e-06,-4.39618568131529e-06,2.577412007238e-06,-2.17505212853354e-06,2.13541692133446e-06,9.34957712519282e-08,1.54815973281096e-06,8.38471316917446e-07,2.19125525040553e-07,1.18520932106536e-06,2.97771338760513e-06,7.42923016558481e-07,4.23183954444034e-05,-0.000111928311071687,1.01155096691903e-06,8.62100821212134e-07,9.05592841388158e-07,-4.72966556404426e-07,-2.47420297799522e-07,-1.29976414348311e-07,4.75746122288922e-06,-4.38748405493234e-06,2.03692186623273e-06,-1.90103494672362e-06
-2.9277629953092e-06,-1.31961130424604e-06,-1.29270439148367e-06,-2.8205895745777e-07,-5.55707357359059e-06,-8.01143822591222e-07,-1.20383478039814e-06,-5.93049101917342e-08,-1.63891855127971e-07,2.4713626551935e-07,5.41725984380706e-06,-7.93212652541118e-08,-1.61079493756739e-06,-5.31988909455532e-07,-1.20613898716239e-06,-1.45474169703791e-06,4.41599192489174e-06,-6.99997387311599e-07,-1.67292839926092e-06,8.71472339334104e-07,-3.39943041052143e-06,-4.20360385878395e-07,-5.77830585330035e-06,2.08651883876705e-06,-5.91642795626107e-06,2.16979137032572e-06,-4.84236311150853e-06,5.08883286144673e-06,-1.89787009353668e-06,-1.31475525574557e-06,-3.74638481506058e-06,1.51857278907532e-06,3.70495785046914e-07,-3.92007479314662e-07,-1.26981574741869e-06,1.51338757684627e-07,2.48452317255551e-06,1.96845128027454e-07,3.27465598112281e-06,1.21058330847161e-06,2.1031512662671e-06,-5.90827000157776e-08,5.60887563783112e-07,-1.28791292030873e-07,5.25983864391984e-06,-3.42989807406049e-06,1.67624477668647e-06,-1.00690801500448e-06,2.81330590125909e-06,-4.46315895580686e-06,2.5653993710338e-06,-2.13174522455514e-06,2.17618498556005e-06,1.14666013894607e-07,1.57194227733762e-06,8.80196175180938e-07,2.73862283023554e-07,1.23984111681899e-06,3.04180510509582e-06,7.72729397345261e-07,4.2633249447078e-05,-0.000113095407129171,1.03318680905121e-06,8.87480031829089e-07,8.61894941487385e-07,-4.84362412525861e-07,-2.55207763047656e-07,-1.41047181734681e-07,4.81049493001419e-06,-4.40298352011251e-06,2.15710520502101e-06,-1.98886823741003e-06
-2.94210002437891e-06,-1.32797012006664e-06,-1.27852938164348e-06,-2.66044541194214e-07,-5.5687256368143e-06,-7.89506392696791e-07,-1.16172307445528e-06,-3.83128245076897e-08,-1.79266231022869e-07,2.37642938065618e-07,5.43224606127767e-06,-8.99455548976779e-08,-1.64470900857472e-06,-5.46992070831552e-07,-1.05771350749106e-06,-1.39302167264112e-06,4.38994149487242e-06,-6.83748850977237e-07,-1.6264216313306e-06,8.54582739491157e-07,-3.37151752567968e-06,-4.47095636162577e-07,-5.8000948929723e-06,2.15179964225068e-06,-5.94913389919814e-06,2.22092650040737e-06,-4.78272307699671e-06,5.15637658283135e-06,-1.95482711273947e-06,-1.32983908328566e-06,-3.64388172111671e-06,1.38922312972068e-06,3.74931342924377e-07,-3.7623855968065e-07,-1.19816358053838e-06,1.94072796523069e-07,2.51417713915585e-06,2.04368591291643e-07,3.37809496604317e-06,1.22535335331976e-06,2.17920191422694e-06,2.74621665790549e-08,5.45935164285403e-07,-8.8837399099362e-08,5.46494712749405e-06,-3.47743534735287e-06,1.7045322933206e-06,-1.01809989299913e-06,2.72659585924654e-06,-4.52738211075344e-06,2.55831787636576e-06,-2.08856205910768e-06,2.21698427576853e-06,1.36184321319857e-07,1.59660664225721e-06,9.20632503758163e-07,3.33101171464376e-07,1.29239485326684e-06,3.10841311858345e-06,8.01776267490037e-07,4.29169405727252e-05,-0.000114167261583927,1.05904572182675e-06,9.12527685590337e-07,8.21661691938331e-07,-4.95408989518118e-07,-2.59434506055141e-07,-1.51870300313652e-07,4.86506955802087e-06,-4.41491160878559e-06,2.28487308612442e-06,-2.07490460171409e-06
-2.95121540157959e-06,-1.33630685213682e-06,-1.26157957219014e-06,-2.50174500709348e-07,-5.57554502676399e-06,-7.7762433437962e-07,-1.11506806316776e-06,-1.7318113383774e-08,-1.9138750549263e-07,2.27359166662835e-07,5.4491368516843e-06,-1.00989812778433e-07,-1.67438958530862e-06,-5.61530926819481e-07,-9.02293910807949e-07,-1.32892498767434e-06,4.36262644262623e-06,-6.67045394051492e-07,-1.57604867296658e-06,8.35569339161825e-07,-3.33857367093855e-06,-4.73940373162425e-07,-5.81041146521569e-06,2.21186325900327e-06,-5.97855856411082e-06,2.27294572818649e-06,-4.70714318955612e-06,5.20805267410673e-06,-2.00660485456819e-06,-1.34496124937247e-06,-3.53190125093355e-06,1.25414959078536e-06,3.81834054281837e-07,-3.59995046029634e-07,-1.12256339164717e-06,2.36840538219027e-07,2.54370703739046e-06,2.11264559704839e-07,3.48707152067268e-06,1.23848436873678e-06,2.25737325002514e-06,1.12654373457474e-07,5.36586273809991e-07,-5.09881253449147e-08,5.67113776304436e-06,-3.52567964195635e-06,1.73417382601242e-06,-1.0283647715216e-06,2.6413954367059e-06,-4.58858770296338e-06,2.55609690620408e-06,-2.04558974320055e-06,2.25760556098813e-06,1.58017422599784e-07,1.62203848808473e-06,9.59681501039197e-07,3.96630145869893e-07,1.3427637702007e-06,3.1773124714542e-06,8.29993183036934e-07,4.3167593506886e-05,-0.000115137243808614,1.08922640871716e-06,9.37176532422444e-07,7.85139571521576e-07,-5.06050616117524e-07,-2.5998066623987e-07,-1.62437210785491e-07,4.92110975238327e-06,-4.42339750939198e-06,2.42024423918681e-06,-2.15887484124337e-06
