S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
-5.10972350228859e-06,-1.25930972527732e-06,-2.29584341537152e-06,-8.17583130858488e-07,1.81176901169864e-06,-1.91859776901851e-06,-1.52967915723933e-05,5.74132163975132e-06,-1.01926913887825e-05,2.45275008317361e-06,-3.24701735684969e-06,2.31802364090257e-06,-3.12079684147014e-06,2.40241842157608e-07,2.5864716610755e-06,8.6539469901355e-07,-5.06213970676289e-06,-4.21646887322431e-08,-2.6208489786177e-06,-1.42904094654987e-06,-1.05035271140509e-06,4.83460504548175e-07,-2.84832714665145e-06,2.21337494303801e-06,-6.0259257050107e-06,6.32318867031127e-07,-3.3644737197945e-06,3.38528320185956e-06,6.0121735237936e-06,-7.26310901124655e-06,-5.80116935557465e-07,1.30634707000965e-06,-4.15863324502252e-06,-3.0364712250919e-07,-2.35907061623094e-06,6.50629795793356e-06,-2.06948533745186e-06,6.7989233204549e-07,-8.46369693187073e-06,1.08543072698474e-06,1.6598935133326e-06,-1.30155898247944e-07,-5.69242899714069e-07,-1.74812543332211e-06,-1.66002036703716e-05,1.35914161886766e-05,-7.0470434482385e-08,-1.39943257685584e-06,1.63205625829799e-05,-1.499470436991e-05,4.01375347782182e-06,-1.38192697513598e-06,-4.86545049386112e-06,-5.69460575599398e-06,8.81151800571162e-06,-1.11699310283253e-05,-2.3722320406114e-06,9.83555117143282e-07,1.69625362704226e-06,-1.94298029571656e-06,-1.98974865302963e-05,6.95478879592185e-06,-7.90311056885625e-07,1.18795557512569e-07,-1.89408847386518e-07,3.52883959629178e-07,-3.76970673033371e-08,1.5658676117227e-07,-4.99275140770333e-06,-5.84165895906276e-07,-8.32755588849836e-06,2.22213203087477e-06
-5.11088740238102e-06,-1.25776879197072e-06,-2.30076547831393e-06,-8.08970276489809e-07,1.91569337700425e-06,-1.94827987778431e-06,-1.52274276132024e-05,5.70116788605014e-06,-1.01871432450677e-05,2.48770936307637e-06,-3.26005084733173e-06,2.33888653648936e-06,-3.18936503169887e-06,2.39970680821739e-07,2.59332015256759e-06,8.60199393585795e-07,-4.97925137122915e-06,-8.73294265325159e-09,-2.54884088607474e-06,-1.40090057404573e-06,-1.06901727270601e-06,4.77822907634843e-07,-2.75502432551243e-06,2.2073805193413e-06,-6.06809960639381e-06,6.18970217132954e-07,-3.60006268886247e-06,3.69304882238902e-06,6.03807353064771e-06,-7.18593650033126e-06,-6.51854781132345e-07,1.34553876838706e-06,-4.17118269530217e-06,-3.008557102142e-07,-2.15878409442678e-06,6.44536395899688e-06,-2.14236994650569e-06,7.367753881855e-07,-8.46130435199125e-06,1.10414099982319e-06,1.66627548336209e-06,-9.29908598780361e-08,-4.41459739017197e-07,-1.75712773108616e-06,-1.61791042767709e-05,1.33126471724442e-05,-3.82882655142839e-08,-1.38299834619597e-06,1.66749005083698e-05,-1.50623479877538e-05,4.08773845105978e-06,-1.35696998309122e-06,-4.72308130697161e-06,-5.54026140075464e-06,8.67711964764702e-06,-1.09047697976917e-05,-2.44620886277761e-06,9.30685616300358e-07,1.75244756677995e-06,-2.01159987303153e-06,-1.97144263274664e-05,7.25237431856186e-06,-8.25660610276914e-07,9.90766988387642e-08,-1.97086271726823e-07,3.57819379467117e-07,-7.03247943954445e-08,1.62080282720617e-07,-4.93017190614248e-06,-5.52033124169553e-07,-8.33638461696737e-06,2.27042306885113e-06
-5.10726711565508e-06,-1.25435306963925e-06,-2.30276794300735e-06,-7.99325598456059e-07,2.01834015641363e-06,-1.97623644473567e-06,-1.51311620369433e-05,5.64880260021746e-06,-1.01663506609254e-05,2.52026223068209e-06,-3.27484944105738e-06,2.36024776766962e-06,-3.25593250884943e-06,2.39989021039849e-07,2.59536329837661e-06,8.53890968736501e-07,-4.89462712910199e-06,2.45945053520311e-08,-2.47055629918031e-06,-1.36821495816622e-06,-1.08811570140551e-06,4.71817046310154e-07,-2.66160060015442e-06,2.20209070756773e-06,-6.10157194925408e-06,6.03964656745318e-07,-3.83132825657128e-06,4.00024298150765e-06,6.07327163968059e-06,-7.10760756659952e-06,-7.16810268868352e-07,1.37835735396835e-06,-4.17596199844039e-06,-2.97803653138614e-07,-1.94695955392475e-06,6.36958035901102e-06,-2.21379299460695e-06,7.93775656766689e-07,-8.44685570116561e-06,1.12454028173637e-06,1.67234241542331e-06,-5.38965432910211e-08,-3.07575609653356e-07,-1.76696643159787e-06,-1.57496728597969e-05,1.30603117556381e-05,-6.29684294800333e-09,-1.36401012295323e-06,1.70269526572443e-05,-1.51314180456882e-05,4.15777777458477e-06,-1.32900818544116e-06,-4.56879353932943e-06,-5.37938893132572e-06,8.53368491896552e-06,-1.06241983672833e-05,-2.51688237882694e-06,8.76849667995676e-07,1.81363106400032e-06,-2.08157688743136e-06,-1.9519089460892e-05,7.55408450222198e-06,-8.58617948957328e-07,7.80536318134028e-08,-2.03655047466375e-07,3.61928120839934e-07,-1.01769871878207e-07,1.6684506289278e-07,-4.85703049912734e-06,-5.18688407049928e-07,-8.32904664724311e-06,2.31672719041923e-06
-5.09872401292294e-06,-1.24914713579769e-06,-2.30173017840216e-06,-7.88714388700199e-07,2.11936117953208e-06,-2.0021704513138e-06,-1.50084908886495e-05,5.58447488392015e-06,-1.01305437330767e-05,2.55047303058923e-06,-3.29117763951844e-06,2.3819997558015e-06,-3.32016753922803e-06,2.40276777686298e-07,2.59297697412324e-06,8.4647489702793e-07,-4.8081611655298e-06,5.77213090635359e-08,-2.38614598942541e-06,-1.33104998956717e-06,-1.10752738369765e-06,4.65467316948631e-07,-2.56826620646805e-06,2.19755350575579e-06,-6.12628517176488e-06,5.87241724254979e-07,-4.05772432644717e-06,4.30593139822029e-06,6.11769824895594e-06,-7.02815307365555e-06,-7.74817592728824e-07,1.4047771694546e-06,-4.17306000139663e-06,-2.94496879613084e-07,-1.72438625235094e-06,6.27931148065916e-06,-2.28347697319451e-06,8.50633166462637e-07,-8.42052964178481e-06,1.14657738445019e-06,1.67800418361918e-06,-1.29041615193721e-08,-1.6787122845497e-07,-1.77765559510014e-06,-1.53161127196963e-05,1.28381964231238e-05,2.53748343050508e-08,-1.34242652197678e-06,1.73753624355108e-05,-1.52013200185175e-05,4.2235135701413e-06,-1.29807026279887e-06,-4.40253255034429e-06,-5.21245898457532e-06,8.38113270788658e-06,-1.03285719863449e-05,-2.58388133954866e-06,8.22065051541168e-07,1.87960721764727e-06,-2.15264624282991e-06,-1.93114265584152e-05,7.85852956699926e-06,-8.89153331962736e-07,5.57628968476809e-08,-2.09089135604911e-07,3.65213998218959e-07,-1.31971778232394e-07,1.70874539500838e-07,-4.77364531260616e-06,-4.84255861135738e-07,-8.30588306596043e-06,2.36097397331404e-06
-5.08512456675076e-06,-1.24224044203357e-06,-2.29753735535986e-06,-7.77204762064382e-07,2.21837857510301e-06,-2.02578063748494e-06,-1.48600154507231e-05,5.50848952568188e-06,-1.00800005145143e-05,2.57841161110898e-06,-3.30876886178389e-06,2.40403202488801e-06,-3.38174654596384e-06,2.40814217643818e-07,2.5865541522573e-06,8.37961484088309e-07,-4.71972929216903e-06,9.05562077964601e-08,-2.29578822726406e-06,-1.28948969013232e-06,-1.12713624980804e-06,4.58796072623228e-07,-2.47521776854361e-06,2.19380232029888e-06,-6.14221106766583e-06,5.68749351290196e-07,-4.27873076092283e-06,4.6091937021831e-06,6.1712295879867e-06,-6.94758466761138e-06,-8.25745265653127e-07,1.42479809353045e-06,-4.16259800137033e-06,-2.90944746744407e-07,-1.49190013745852e-06,6.17497971599137e-06,-2.35114613689443e-06,9.07086646385452e-07,-8.38255468039434e-06,1.17018861603644e-06,1.68317183556166e-06,2.99484794302116e-08,-2.26620884455632e-08,-1.78919463803139e-06,-1.48825455220747e-05,1.2649801118933e-05,5.65956694735569e-08,-1.31821302095835e-06,1.77187414042969e-05,-1.5271409738276e-05,4.28460460605108e-06,-1.26419493702549e-06,-4.22428241913034e-06,-5.03996074954641e-06,8.21940722462414e-06,-1.00182934123204e-05,-2.64685008816323e-06,7.663590746787e-07,1.95014279553504e-06,-2.22452475684468e-06,-1.90913951867761e-05,8.16427738226426e-06,-9.17248134433662e-07,3.22480395731044e-08,-2.13374490017135e-07,3.67684472333344e-07,-1.60878473924209e-07,1.74165878769075e-07,-4.68038099845821e-06,-4.48863905884755e-07,-8.26731088600469e-06,2.40309830076203e-06
-5.06634082997604e-06,-1.2337268903525e-06,-2.29008079447972e-06,-7.64867327110492e-07,2.31498672500295e-06,-2.04676323074379e-06,-1.46864379047554e-05,5.42120494445394e-06,-1.00150440045526e-05,2.60415232976438e-06,-3.32732669544919e-06,2.42623161650307e-06,-3.44035527415286e-06,2.41581939597704e-07,2.57650313498184e-06,8.28365686483507e-07,-4.62919083598131e-06,1.23013268973199e-07,-2.19968790433389e-06,-1.24363579894737e-06,-1.14683118810923e-06,4.51823424862005e-07,-2.38263747830076e-06,2.1908565793719e-06,-6.14935056778619e-06,5.48444455037317e-07,-4.49385388681056e-06,4.9091273860988e-06,6.23368817112102e-06,-6.86589493158228e-06,-8.69496369748271e-07,1.43844541282294e-06,-4.14472877162073e-06,-2.87159988998037e-07,-1.25038088330575e-06,6.05706388060421e-06,-2.4165278933713e-06,9.6287498653737e-07,-8.3332074600841e-06,1.19529811090414e-06,1.68775812152584e-06,7.46169511702604e-08,1.27702737815184e-07,-1.80156824288049e-06,-1.44529862230002e-05,1.24983193088583e-05,8.72330577981546e-08,-1.29134220295691e-06,1.80556751791077e-05,-1.53409962082489e-05,4.34072823826056e-06,-1.22743109124256e-06,-4.03406617336581e-06,-4.86240000963245e-06,8.04847866699936e-06,-9.69381148528239e-06,-2.70544982866537e-06,7.09768515661985e-07,2.02496998665111e-06,-2.29691265537607e-06,-1.88589646011865e-05,8.46986633337615e-06,-9.42894106788127e-07,7.55925415992039e-09,-2.16508469729139e-07,3.6935049196504e-07,-1.88446153063716e-07,1.7671996558272e-07,-4.57764612061574e-06,-4.12644546983899e-07,-8.21381858514814e-06,2.44304033006093e-06
-5.04225099135251e-06,-1.22370439797351e-06,-2.27925833563366e-06,-7.51774847668654e-07,2.40875458761323e-06,-2.06481378423929e-06,-1.44885563530328e-05,5.3230307690826e-06,-9.93603890971744e-06,2.62777304039209e-06,-3.34652625022764e-06,2.44848353562915e-06,-3.49568994558333e-06,2.42560844374734e-07,2.56324568524627e-06,8.17706899982316e-07,-4.53639074288546e-06,1.55012085199674e-07,-2.09807549183213e-06,-1.19360725524418e-06,-1.16650640894841e-06,4.44567077390563e-07,-2.29069242780795e-06,2.18872245371167e-06,-6.14773339655522e-06,5.2629341167276e-07,-4.70262672883792e-06,5.20485142204615e-06,6.30484355898446e-06,-6.78305770065156e-06,-9.06008635960812e-07,1.44576958952373e-06,-4.11963540389078e-06,-2.83158634292399e-07,-1.0007487047006e-06,5.92609724406827e-06,-2.47935419464437e-06,1.0177387153172e-06,-8.27281080040256e-06,1.2218182724464e-06,1.69167800518052e-06,1.21050211551696e-07,2.82842018342729e-07,-1.81474638937826e-06,-1.40313192953152e-05,1.23866211184118e-05,1.17153511627817e-07,-1.2617939785477e-06,1.83847296171462e-05,-1.54093448400813e-05,4.3915822291466e-06,-1.1878378299661e-06,-3.83194586688162e-06,-4.68029708276372e-06,7.86834377409432e-06,-9.35561949402332e-06,-2.75935978490489e-06,6.52339454142712e-07,2.10378853589083e-06,-2.36949530297085e-06,-1.86141204677916e-05,8.77381850831538e-06,-9.66092636509879e-07,-1.82470246364103e-08,-2.18499157302936e-07,3.70226304261643e-07,-2.14638960147968e-07,1.78541365703147e-07,-4.46589026867781e-06,-3.75732644837577e-07,-8.14596125473723e-06,2.4807454674601e-06
-5.01273999038132e-06,-1.21227445356922e-06,-2.26497472120148e-06,-7.3800189613684e-07,2.49922840334803e-06,-2.07962910999346e-06,-1.42672592150607e-05,5.21442506989112e-06,-9.84338820206239e-06,2.64935408085159e-06,-3.36601557710034e-06,2.4706712267687e-06,-3.54745840292743e-06,2.43732100979629e-07,2.54721507083139e-06,8.06008719396272e-07,-4.44116183835262e-06,1.86477929218091e-07,-1.99120583815988e-06,-1.13953958236252e-06,-1.18606174824439e-06,4.37042193468501e-07,-2.19953408608757e-06,2.1873936672886e-06,-6.1374176082057e-06,5.02272424691354e-07,-4.90460900874294e-06,5.49550953945113e-06,6.384413434352e-06,-6.69902854653026e-06,-9.35254381198296e-07,1.44684594389802e-06,-4.08752997285791e-06,-2.78959890315034e-07,-7.43960901175257e-07,5.78266524000726e-06,-2.53936291753889e-06,1.07142148140187e-06,-8.20173147975591e-06,1.24965031677696e-06,1.69484915777468e-06,1.69190652354593e-07,4.42343999205322e-07,-1.82868450601916e-06,-1.36212761600783e-05,1.23172393181241e-05,1.46223318738796e-07,-1.22955578764648e-06,1.87044572815691e-05,-1.54756810974686e-05,4.43688644254709e-06,-1.14548447607372e-06,-3.61802251294709e-06,-4.49418466802827e-06,7.67902627756124e-06,-9.00425334670729e-06,-2.80827825387931e-06,5.94126996634214e-07,2.1862682795079e-06,-2.4419452296193e-06,-1.83568694475541e-05,9.07465300349553e-06,-9.86854009973533e-07,-4.51085789078811e-08,-2.1936458868241e-07,3.70329237067847e-07,-2.3942867439113e-07,1.79638261136632e-07,-4.3456009258498e-06,-3.38265171228156e-07,-8.06435540359666e-06,2.51616435255158e-06
-4.97770018597341e-06,-1.1995416677957e-06,-2.247141991843e-06,-7.23624499810783e-07,2.58593476930866e-06,-2.0909092965159e-06,-1.40235190389415e-05,5.09589126107191e-06,-9.73752951884149e-06,2.66897728124098e-06,-3.38541715976737e-06,2.49267707497764e-06,-3.59538124839959e-06,2.45077112706033e-07,2.52885402296158e-06,7.93298670963204e-07,-4.34332722426961e-06,2.17341868081948e-07,-1.87935680779641e-06,-1.08158417652342e-06,-1.20540290902579e-06,4.29261298219534e-07,-2.10929791874404e-06,2.18685238313668e-06,-6.11848900727614e-06,4.76367796545722e-07,-5.09938692213729e-06,5.78027313285508e-06,6.47206500009585e-06,-6.61374544006062e-06,-9.57240328547018e-07,1.44177427577659e-06,-4.04865203285411e-06,-2.74586003997015e-07,-4.81008054688052e-07,5.62740282474782e-06,-2.59629922136675e-06,1.12367152352828e-06,-8.12037776606554e-06,1.278684906484e-06,1.69719244033554e-06,2.18974188196955e-07,6.05768255107588e-07,-1.84332374272412e-06,-1.32264137334499e-05,1.22923579015745e-05,1.74309230929264e-07,-1.19462277950703e-06,1.90134042012398e-05,-1.55391945428858e-05,4.47638442022867e-06,-1.10045049827273e-06,-3.39243587735091e-06,-4.30460560966826e-06,7.4805772661346e-06,-8.64028956096959e-06,-2.85192356562971e-06,5.35194904948496e-07,2.27205206236725e-06,-2.51392447809229e-06,-1.80872435506589e-05,9.37089915215008e-06,-1.00519667769253e-06,-7.29579116640147e-08,-2.19131904404168e-07,3.69679457709308e-07,-2.62794366055972e-07,1.80022359993425e-07,-4.21730012450402e-06,-3.00380458121203e-07,-7.96967347042399e-06,2.54925285459909e-06
-4.93703208333399e-06,-1.18561332071763e-06,-2.22567989946269e-06,-7.08719781963173e-07,2.66838404811473e-06,-2.09835980086919e-06,-1.37583857879302e-05,4.96797469525156e-06,-9.61893146211773e-06,2.68672501330731e-06,-3.40432952062685e-06,2.51438292309521e-06,-3.63919298239349e-06,2.46577486384822e-07,2.5086126049983e-06,7.79607918422685e-07,-4.24270281315882e-06,2.47540836894783e-07,-1.76282776485037e-06,-1.0199075050039e-06,-1.22444164474261e-06,4.21234216616967e-07,-2.02010315350277e-06,2.18707014800196e-06,-6.09106046553368e-06,4.48576112079682e-07,-5.28657269267866e-06,6.05834376147891e-06,6.56741670229485e-06,-6.52712959592957e-06,-9.72007322603295e-07,1.4306784397886e-06,-4.00326696152273e-06,-2.70062096512765e-07,-2.1290981096146e-07,5.46099143941723e-06,-2.64991687288322e-06,1.17424311145013e-06,-8.02919671185454e-06,1.30880286410473e-06,1.69863237788992e-06,2.70330388210709e-07,7.72647748501074e-07,-1.85859136687196e-06,-1.28500940255059e-05,1.23138030127666e-05,2.01279179598716e-07,-1.15699796915069e-06,1.93101169537217e-05,-1.55990432998539e-05,4.50984484501077e-06,-1.05282536359044e-06,-3.15536413491558e-06,-4.1121105953356e-06,7.27307547958463e-06,-8.26434309094573e-06,-2.89003496169761e-06,4.75615136671043e-07,2.36075897151597e-06,-2.58508724067089e-06,-1.78053042073541e-05,9.66110949874836e-06,-1.0211465268402e-06,-1.01722795227226e-07,-2.17836435012936e-07,3.68299712899073e-07,-2.84722029172271e-07,1.79708781879241e-07,-4.08154092707363e-06,-2.62217443656047e-07,-7.8626381024535e-06,2.57997208154413e-06
