S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
8.69306830721147e-07,-2.11301497263352e-07,5.30649610330111e-07,-8.22608243400255e-08,-2.69185306036906e-07,-4.71136163030833e-07,-1.48925550851386e-06,-6.95578257189605e-07,-4.09367751466303e-06,-3.29375911214034e-09,-3.66719059590608e-06,-1.24690888553765e-06,-1.17891346022315e-06,-9.82535723193669e-07,-1.33205897026949e-06,4.9695733523604e-07,-1.76090699578452e-06,-2.03876173705563e-07,-4.60683015587281e-07,-6.88821846059567e-08,-4.57116119611715e-07,1.79757426575069e-07,-1.51929822727263e-06,3.39383505514162e-07,-2.1564503626345e-06,7.53117062156977e-07,-1.9982578352779e-06,9.89790969654834e-07,-1.20420637449413e-06,-1.95675601054719e-07,-5.92923637108573e-08,7.22653455930725e-07,-6.55660730338017e-07,2.40717799297336e-06,-3.09546819840589e-07,7.41204937526556e-07,3.22522107261729e-06,-5.44050010756632e-07,2.34045126513934e-07,1.05945246764676e-06,9.2511211325871e-08,2.30182281881008e-08,-8.8775657165718e-08,-5.90144669469258e-07,2.02415526798788e-06,-1.07641842796828e-06,9.50665180687888e-07,-1.02826587379881e-06,-9.41910871280024e-07,1.36374199222059e-06,-1.46448108213854e-07,1.43073837420327e-06,7.32044113808747e-07,3.60223490924554e-07,3.21371228023958e-06,-1.75925303069143e-07,2.71094631076333e-06,3.76729055539357e-07,3.50101641775949e-06,-7.01091820190368e-07,8.46994876808816e-06,-1.05241197536657e-05,-1.82580479311599e-06,5.0024971042234e-07,-1.46313226455986e-06,-1.2161761812716e-07,1.30526282448563e-07,3.28529937546401e-07,1.07569247690813e-06,1.64759055973302e-07,4.33473483397281e-06,-6.005601937604e-07
8.19664583152237e-07,-2.06820786921333e-07,4.67798537337423e-07,-6.6787674630747e-08,-3.33736441224715e-07,-4.55090808414326e-07,-1.5385659248072e-06,-7.02884555426097e-07,-4.23837695289252e-06,1.20855461271241e-08,-3.8784691237589e-06,-1.24318474237578e-06,-1.26875342530477e-06,-9.49484849131784e-07,-1.38890476365682e-06,5.02405376230696e-07,-1.78668856645232e-06,-1.95459783129222e-07,-4.88641107589939e-07,-7.19281749714866e-08,-4.59831484430089e-07,1.77708158169096e-07,-1.5814044223101e-06,3.54018324913877e-07,-2.1507705871597e-06,7.43735394489533e-07,-2.0276149820952e-06,9.97881190413997e-07,-1.21662854774167e-06,-1.89248935714914e-07,-7.43662318776147e-08,7.26958043424308e-07,-6.62731138006249e-07,2.41046173861658e-06,-3.25101327087993e-07,7.28671172562051e-07,3.18316502384793e-06,-5.24456522186067e-07,1.39654550616092e-07,1.10181212938019e-06,7.27766151284674e-08,1.99643821719769e-08,-9.13584949495046e-08,-5.89722888751761e-07,2.01678781489866e-06,-1.07631572282585e-06,9.1054963890286e-07,-1.03459698893729e-06,-9.65838854765909e-07,1.36341233350092e-06,-1.34202093623657e-07,1.4194341122068e-06,7.11706335046631e-07,3.72901210500206e-07,3.21533570796752e-06,-1.82819459314129e-07,2.68404798240682e-06,3.60934096126416e-07,3.44981244646699e-06,-6.88543219172592e-07,8.3720232547671e-06,-1.04661941919231e-05,-1.83567193401179e-06,5.06172749340739e-07,-1.42270811497197e-06,-1.52975009049345e-07,9.94980778702267e-08,3.32474095254203e-07,9.99182687878587e-07,1.78789591243536e-07,4.22573259349896e-06,-5.99845201015007e-07
7.74420697334171e-07,-2.04269089027951e-07,4.08741902267762e-07,-5.22085885533949e-08,-3.92421598603577e-07,-4.39500077737727e-07,-1.58240912976027e-06,-7.10326219675129e-07,-4.3755634756038e-06,2.72235865985284e-08,-4.0785427557182e-06,-1.23782294890827e-06,-1.35375632060439e-06,-9.17252672893909e-07,-1.44078002160817e-06,5.06429478591372e-07,-1.80948261892414e-06,-1.8710394874953e-07,-5.14043268349682e-07,-7.54238716260398e-08,-4.57265356841065e-07,1.73894778641423e-07,-1.63648301848133e-06,3.66122232973048e-07,-2.13937531991702e-06,7.32651620600413e-07,-2.0502775003097e-06,1.00309531540415e-06,-1.22504916477436e-06,-1.82356068130914e-07,-8.78211705420626e-08,7.30385271722626e-07,-6.68650060724889e-07,2.41226103048847e-06,-3.4045232004822e-07,7.1575751952183e-07,3.14222416178284e-06,-5.0602086999643e-07,4.71225763981704e-08,1.14311747261581e-06,5.2166404066871e-08,1.76961427619345e-08,-9.14848199145905e-08,-5.90385961897608e-07,2.0087687183114e-06,-1.07633260825425e-06,8.70256521105643e-07,-1.04141387998254e-06,-9.86888113289452e-07,1.36277431241209e-06,-1.18406954521936e-07,1.40583516297872e-06,6.91944665979152e-07,3.85510085026783e-07,3.21650557963529e-06,-1.89927505388386e-07,2.65777102089476e-06,3.44073468497634e-07,3.39952913418966e-06,-6.75342308617594e-07,8.27111155664131e-06,-1.03988842801575e-05,-1.84101497382153e-06,5.10179502177116e-07,-1.38067986259348e-06,-1.85034974490168e-07,7.04323231279881e-08,3.35991117499621e-07,9.25619055310652e-07,1.92220920381617e-07,4.12002477121112e-06,-5.98235733752094e-07
7.33608851317384e-07,-2.03625622506583e-07,3.53566649805495e-07,-3.85792891576372e-08,-4.45228999203814e-07,-4.24371176625905e-07,-1.62079833544153e-06,-7.17924483782969e-07,-4.5050393418965e-06,4.20333064864744e-08,-4.2672030479518e-06,-1.23085112995506e-06,-1.43376092316757e-06,-8.8596332305066e-07,-1.48751695819836e-06,5.08974913305897e-07,-1.82903845938011e-06,-1.78826964299042e-07,-5.368716246478e-07,-7.93514772172155e-08,-4.49440270035388e-07,1.68318843726831e-07,-1.68450866442172e-06,3.75723647566808e-07,-2.12225532449671e-06,7.1985067202954e-07,-2.06622261633779e-06,1.00541701669413e-06,-1.2294392704952e-06,-1.7501733869659e-07,-9.95778412361594e-08,7.32930718785493e-07,-6.73271437991056e-07,2.41255001239383e-06,-3.55484154305293e-07,7.02454474829027e-07,3.10250762620999e-06,-4.88755694647683e-07,-4.3228060759173e-08,1.18334843212374e-06,3.07461498452863e-08,1.62302749761154e-08,-8.91669873901027e-08,-5.92148932767689e-07,2.00005997245025e-06,-1.07638912069377e-06,8.29918938278755e-07,-1.04876568538736e-06,-1.00499579395335e-06,1.36180402399153e-06,-9.91206183849621e-08,1.39004273594148e-06,6.72732271140019e-07,3.98059061631618e-07,3.21739571409563e-06,-1.97292408164876e-07,2.63222451498324e-06,3.26168343369242e-07,3.35024295106854e-06,-6.61486302353583e-07,8.16731383268642e-06,-1.03224066345423e-05,-1.84176221500019e-06,5.12245976677359e-07,-1.33693671855684e-06,-2.1778293951728e-07,4.3465041025976e-08,3.39065100324634e-07,8.55311619387942e-07,2.0501487199985e-07,4.01806266036897e-06,-5.95782293357995e-07
6.97242724314405e-07,-2.04861859378112e-07,3.0234035573697e-07,-2.59494783297671e-08,-4.92167595200836e-07,-4.09710567250619e-07,-1.65377221233058e-06,-7.25699449287126e-07,-4.62664478677614e-06,5.64308157497504e-08,-4.44429723986925e-06,-1.22230426694531e-06,-1.5086306058098e-06,-8.5573438590433e-07,-1.52897535983775e-06,5.09992392464957e-07,-1.84512305365443e-06,-1.70645640815751e-07,-5.57115993807837e-07,-8.36924274875526e-08,-4.36398025085879e-07,1.60989447570322e-07,-1.72547878574757e-06,3.82858419042542e-07,-2.09941981110801e-06,7.0532282806589e-07,-2.07544840101897e-06,1.00483859327286e-06,-1.22978496643017e-06,-1.6725524263024e-07,-1.09565436982589e-07,7.34592894679759e-07,-6.76460537558158e-07,2.4113076387342e-06,-3.70086768555748e-07,6.8875207044377e-07,3.06411553981653e-06,-4.72669840178837e-07,-1.31091809940886e-07,1.22248631382217e-06,8.58126554229911e-09,1.55799590477555e-08,-8.44312951801824e-08,-5.95021488664721e-07,1.99062217441943e-06,-1.07640556525609e-06,7.89662274191937e-07,-1.0566955029792e-06,-1.0201149712233e-06,1.36047921745633e-06,-7.6414222072733e-08,1.37216139805235e-06,6.54038776858779e-07,4.10556939161653e-07,3.21817046183015e-06,-2.0495255419256e-07,2.60751136984181e-06,3.07242605381263e-07,3.30202517414696e-06,-6.46974404091726e-07,8.06074869258397e-06,-1.02370190209672e-05,-1.83786007203447e-06,5.12355850793345e-07,-1.29137734888169e-06,-2.51199356341972e-07,1.87215597752532e-08,3.41681786562185e-07,7.88551098345716e-07,2.17134398672469e-07,3.92027376242596e-06,-5.92538167242353e-07
6.65316604151158e-07,-2.07941895410291e-07,2.55111195160698e-07,-1.43627553090546e-08,-5.33266203592218e-07,-3.95524070128951e-07,-1.68139387524336e-06,-7.33669997838161e-07,-4.74025755899974e-06,7.03358890109454e-08,-4.60972686405819e-06,-1.21222438020163e-06,-1.57825316303237e-06,-8.26676391786883e-07,-1.56504273619194e-06,5.09438345367256e-07,-1.85752103622896e-06,-1.62575345441406e-07,-5.74773732851168e-07,-8.84275132240948e-08,-4.18198765466317e-07,1.51922976305999e-07,-1.75941268494181e-06,3.87569410940199e-07,-2.07089607324336e-06,6.89063911539997e-07,-2.07797336223709e-06,1.00136101469281e-06,-1.22608709095111e-06,-1.59094291170411e-07,-1.17721810657087e-07,7.35373135193804e-07,-6.78094385179736e-07,2.40851774561982e-06,-3.84156006595199e-07,6.74640044551053e-07,3.02713901577066e-06,-4.57768383268088e-07,-2.16181292637372e-07,1.26051367208246e-06,-1.42627776171609e-08,1.57544798521148e-08,-7.73173541759202e-08,-5.99007996400263e-07,1.98041505619695e-06,-1.07630311785877e-06,7.49604131530218e-07,-1.0652403377584e-06,-1.03221438658676e-06,1.35877934384407e-06,-5.03718189540348e-08,1.35229877226352e-06,6.35830812475872e-07,4.23012195270492e-07,3.2189838978528e-06,-2.12941439518981e-07,2.58372806224302e-06,2.87322793362186e-07,3.25494219228217e-06,-6.31808058550623e-07,7.95155302561115e-06,-1.01430188128545e-05,-1.82927313694984e-06,5.10500471952718e-07,-1.24391046245302e-06,-2.85259907781097e-07,-3.68370320355793e-09,3.43828615684219e-07,7.25608218728186e-07,2.28543691962568e-07,3.82706079257802e-06,-5.88559071430563e-07
6.37806058804997e-07,-2.1282284234876e-07,2.11908011628033e-07,-3.85657042834715e-09,-5.68572610633647e-07,-3.8181695454876e-07,-1.70374977291187e-06,-7.41853705137756e-07,-4.84579226318388e-06,8.36724307550633e-08,-4.76344612749073e-06,-1.20066017167624e-06,-1.64254051069193e-06,-7.98892346473347e-07,-1.59563432264882e-06,5.07275163123647e-07,-1.86603468482157e-06,-1.54630058871332e-07,-5.89849572772679e-07,-9.35370008947459e-08,-3.94920011213568e-07,1.41142822597245e-07,-1.78635062998203e-06,3.89906080529374e-07,-2.03672906668184e-06,6.71075438351134e-07,-2.07383596603767e-06,9.94993915502187e-07,-1.21836087405217e-06,-1.5056086356529e-07,-1.23993579937002e-07,7.35275496334942e-07,-6.78062107556634e-07,2.40416911019206e-06,-3.97593891022367e-07,6.60108013129055e-07,2.99166021221659e-06,-4.44052664814572e-07,-2.98228174764207e-07,1.29741420608893e-06,-3.77201907700042e-08,1.67589282133612e-08,-6.78773918027393e-08,-6.04107561642219e-07,1.96939801851684e-06,-1.0760044017456e-06,7.09854349168094e-07,-1.07443108824102e-06,-1.04127810571773e-06,1.35668559998655e-06,-2.10900379338691e-08,1.33056523490718e-06,6.1807253932953e-07,4.35432821092098e-07,3.21997910211078e-06,-2.21287410327937e-07,2.56096435741901e-06,2.66438049712952e-07,3.20905577200964e-06,-6.15991186360918e-07,7.83988168099811e-06,-1.00407412237094e-05,-1.81598417729677e-06,5.06678819151874e-07,-1.19445526204555e-06,-3.19935830903382e-07,-2.36474284113235e-08,3.45494766027057e-07,6.66733121103902e-07,2.39208304631371e-07,3.73880071480075e-06,-5.83902790213275e-07
6.14668662366331e-07,-2.19455238092978e-07,1.72740483413399e-07,5.53778836699738e-09,-5.98152658693003e-07,-3.6859401636035e-07,-1.72094849524719e-06,-7.50266757347492e-07,-4.943199522436e-06,9.63689053660781e-08,-4.90546009178075e-06,-1.18766663148126e-06,-1.70142827093891e-06,-7.72477308645127e-07,-1.62069294317429e-06,5.03471411476735e-07,-1.87048388465611e-06,-1.46822443066439e-07,-6.02355440288296e-07,-9.90007510961887e-08,-3.66655666290441e-07,1.28679066059104e-07,-1.80635294180239e-06,3.89924061314045e-07,-1.99698094124785e-06,6.51364723279549e-07,-2.06309409715956e-06,9.85755544532065e-07,-1.2066355726375e-06,-1.41683050798954e-07,-1.28336209340964e-07,7.34306649849017e-07,-6.76265188903055e-07,2.39825549621749e-06,-4.10308846928173e-07,6.45145639784747e-07,2.95775243166755e-06,-4.31520326730731e-07,-3.76983925455867e-07,1.33317267679719e-06,-6.1724590909146e-08,1.85939321894768e-08,-5.61754994858781e-08,-6.10314107302131e-07,1.95753066348591e-06,-1.07543403552715e-06,6.70515083894671e-07,-1.08429256761271e-06,-1.04730510041952e-06,1.35418097074739e-06,1.13223054925513e-08,1.3070736108413e-06,6.00726159433909e-07,4.47826167703019e-07,3.22128753274989e-06,-2.30013456914527e-07,2.53930298975641e-06,2.44620076532385e-07,3.16442327897143e-06,-5.99530399116605e-07,7.72590700049742e-06,-9.93055733039499e-06,-1.79799407047696e-06,5.00897429732421e-07,-1.14294176263039e-06,-3.55194360350052e-07,-4.10775542733563e-08,3.46671189358742e-07,6.12154838620084e-07,2.49095278045592e-07,3.65584380344708e-06,-5.78628815430247e-07
5.95844768803691e-07,-2.27783471216017e-07,1.37599385056987e-07,1.37951787074781e-08,-6.22089320726968e-07,-3.5585964134015e-07,-1.73311950992123e-06,-7.58923870901249e-07,-5.03246497658507e-06,1.08358730769056e-07,-5.03582267294452e-06,-1.17330461245547e-06,-1.75487525249267e-06,-7.47518014080577e-07,-1.64018874041096e-06,4.98002011732121e-07,-1.87070609380155e-06,-1.39163912284769e-07,-6.12310268425022e-07,-1.04798333831327e-07,-3.33515010264724e-07,1.14568124982664e-07,-1.8194990867635e-06,3.8768474988895e-07,-1.9517305328131e-06,6.29944944466356e-07,-2.04582446830742e-06,9.73672673156988e-07,-1.19095408844853e-06,-1.32490491980089e-07,-1.30714069107361e-07,7.32475779748772e-07,-6.72617640994761e-07,2.39077568176818e-06,-4.22215873207633e-07,6.29742800316292e-07,2.92548026297884e-06,-4.20165357168339e-07,-4.52220466953984e-07,1.36777484630926e-06,-8.62087338093054e-08,2.12554324443931e-08,-4.22868343466641e-08,-6.17616467631239e-07,1.94477332465362e-06,-1.07451915128831e-06,6.31680949051376e-07,-1.09484355656864e-06,-1.05030876172722e-06,1.35125027070146e-06,4.67446461711209e-08,1.28193886665479e-06,5.83752398166145e-07,4.60198807123072e-07,3.22302849725586e-06,-2.39137062265129e-07,2.51881931310427e-06,2.21903095477592e-07,3.12109785230443e-06,-5.82435191050242e-07,7.60981820662544e-06,-9.8128719017923e-06,-1.77532167704825e-06,4.93170292914925e-07,-1.08931098894327e-06,-3.90999281327913e-07,-5.5893410848733e-08,3.4735063772942e-07,5.62080846264015e-07,2.58173273273029e-07,3.57851273219e-06,-5.72797987733206e-07
5.81258328209319e-07,-2.37746216258427e-07,1.06456942723041e-07,2.08965590942232e-08,-6.40481764734767e-07,-3.43617853141452e-07,-1.74041183849425e-06,-7.67838216656768e-07,-5.1136081311067e-06,1.19580634641832e-07,-5.15463447830731e-06,-1.15764037784501e-06,-1.80286283644127e-06,-7.24092547084048e-07,-1.65411878005018e-06,4.90848389799412e-07,-1.86655631366009e-06,-1.31664705238969e-07,-6.19739797241669e-07,-1.10909139464642e-07,-2.95621685127119e-07,9.88523848036897e-08,-1.82588677980111e-06,3.83254899623922e-07,-1.901072822158e-06,6.06835168461713e-07,-2.0221219869518e-06,9.58780466199376e-07,-1.17137257042086e-06,-1.23014204313371e-07,-1.31100471596031e-07,7.29794480213538e-07,-6.67046086674172e-07,2.38173346286088e-06,-4.3323666160747e-07,6.13889739377015e-07,2.89489976167041e-06,-4.09978146487681e-07,-5.23730722267532e-07,1.40120744188487e-06,-1.11104280220129e-07,2.47345119436586e-08,-2.62967850683406e-08,-6.25998495765211e-07,1.93108759243833e-06,-1.07318988231027e-06,5.93439201983255e-07,-1.10609688515666e-06,-1.05031635034048e-06,1.34788018552507e-06,8.50451523733911e-08,1.25527780323573e-06,5.67110956706691e-07,4.72556409543257e-07,3.22530872376661e-06,-2.48670105593644e-07,2.49958092764701e-06,1.98323808440844e-07,3.07912852928861e-06,-5.64718103507123e-07,7.49182065005898e-06,-9.68812104582272e-06,-1.74800365635317e-06,4.83518712124871e-07,-1.03351507279699e-06,-4.27311569546153e-07,-6.80258285086059e-08,3.47527682621223e-07,5.16696676697319e-07,2.66412705461889e-07,3.5071016910566e-06,-5.66472141616306e-07
