S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
-2.44460006419733e-06,-8.78149963727942e-07,-2.58516326579381e-06,-7.32078275552801e-07,-1.53015512088e-06,-1.87385247423132e-06,-3.31370141057662e-06,-7.49837231149887e-07,2.66740433581737e-06,-5.54667192266198e-07,-6.64435056400103e-06,-2.6914473754088e-06,-1.68786387265089e-06,-8.61054494840018e-07,6.27413845398102e-07,-1.49133190674245e-06,3.82222690343478e-06,-1.66787960735097e-06,-1.28858442917112e-06,7.58326013074639e-07,2.93086288279317e-06,-1.18671265049973e-06,-1.22363494853207e-07,-1.78126594566385e-06,-3.12186365229529e-06,2.29487352951353e-07,4.47882615515231e-06,-1.02055624038701e-05,-7.20569064735982e-06,-1.82705557515327e-07,1.31365482663745e-06,-9.02626337553579e-07,3.06304507042254e-06,-1.84341506018039e-06,2.46140637674648e-06,-3.07625527025004e-06,-1.69570944717814e-07,-5.36701772745715e-07,4.08163444969524e-06,-2.48502768004381e-06,-2.26727111168584e-07,8.08671656600474e-08,1.14848433691884e-06,-2.00507388682696e-06,-1.50858697073318e-05,7.31031823262529e-06,-1.09980210825719e-07,2.87736368148245e-07,1.04676765521122e-05,-1.69236201837457e-05,5.47976533530762e-07,-3.75098111827819e-07,-2.70680320689414e-06,-2.36234296554308e-08,2.0902676695597e-06,-1.43167348684809e-06,-2.46534383567411e-06,7.46713369135999e-07,-2.24742413623913e-06,-5.79896459388521e-07,2.9006453515728e-07,-8.99280162517038e-06,1.61143230160265e-06,-1.35891660366743e-06,8.1673900632249e-07,6.98752582787697e-07,-1.67996387354835e-06,8.19433385837479e-08,4.13132652619235e-06,-3.81666704887884e-06,-1.14140120295118e-06,-4.77361293106252e-07
-2.56427142450995e-06,-8.83340302963499e-07,-2.64324677448356e-06,-7.28320416303603e-07,-1.71800829940406e-06,-1.86491082000723e-06,-3.39624654745412e-06,-7.54145236587855e-07,2.6284192837052e-06,-5.59431096182966e-07,-6.77296579535382e-06,-2.6902538692752e-06,-1.78821128480413e-06,-8.75003254958586e-07,5.40409572022812e-07,-1.50897890715894e-06,3.63750045876781e-06,-1.67224913813508e-06,-1.29446256418954e-06,7.65511312260511e-07,2.96018638151254e-06,-1.20490680110954e-06,-1.83064619980796e-07,-1.76884734812435e-06,-3.11297454130831e-06,1.70928742577511e-07,4.61540495697794e-06,-1.03635799587148e-05,-7.37887446166414e-06,-6.37638638614757e-08,1.22398914086055e-06,-9.27709228665586e-07,3.00691847999419e-06,-1.84913649593288e-06,2.10910602241428e-06,-2.79340312938164e-06,-2.67582873250341e-07,-4.81830134083495e-07,3.92947781022391e-06,-2.49384962204414e-06,-2.36375569722982e-07,9.17287810652538e-08,1.14406894225973e-06,-1.99128244720395e-06,-1.4498429633485e-05,6.91369454621347e-06,-1.19987702434053e-07,2.90747864716517e-07,1.05629898572664e-05,-1.70190842224346e-05,6.16355042331006e-07,-3.77421562362939e-07,-2.68005203382e-06,8.20425396630858e-09,2.05766850852431e-06,-1.33379209653952e-06,-2.57376589577661e-06,7.24238693831853e-07,-2.36015403843138e-06,-4.75171437704214e-07,2.78255901861225e-07,-8.76448350045933e-06,1.44385961757495e-06,-1.38208920112268e-06,7.00389114587356e-07,6.98718225974197e-07,-1.74943847257422e-06,7.47555553747495e-08,3.98987052555924e-06,-3.8280720398716e-06,-1.44198366629144e-06,-4.62384057843606e-07
-2.69012633939988e-06,-8.87211251218331e-07,-2.70306043649005e-06,-7.23451972097916e-07,-1.91166158030855e-06,-1.85483075339781e-06,-3.48195123061378e-06,-7.58435824603014e-07,2.58470169626608e-06,-5.64128741931024e-07,-6.90205656053313e-06,-2.68833224811056e-06,-1.89267976281408e-06,-8.88991046275908e-07,4.46721788613689e-07,-1.52489983546682e-06,3.44450532315414e-06,-1.67648559760723e-06,-1.3009036294766e-06,7.72031376764136e-07,2.99161813567373e-06,-1.22371306311787e-06,-2.44295343982715e-07,-1.7538043078978e-06,-3.10463772208253e-06,1.11492408649978e-07,4.73942507787679e-06,-1.05058351342248e-05,-7.54587339011053e-06,5.32706500605409e-08,1.12991761680611e-06,-9.5059525857248e-07,2.94891729325595e-06,-1.8540251438654e-06,1.75994144529005e-06,-2.51066491346375e-06,-3.67219537553533e-07,-4.25495188297173e-07,3.77572239317586e-06,-2.50221439996888e-06,-2.46973569626342e-07,1.02588889726518e-07,1.13833813200404e-06,-1.97596602384976e-06,-1.38966924612216e-05,6.50441228630108e-06,-1.30378646015216e-07,2.93948263046925e-07,1.06540748980686e-05,-1.71060116797518e-05,6.811961175691e-07,-3.80712750473069e-07,-2.65219766124041e-06,4.018758969816e-08,2.01712400469158e-06,-1.23084925588731e-06,-2.68290056607946e-06,6.99899021869415e-07,-2.47117205280825e-06,-3.67752201224811e-07,2.55903149840905e-07,-8.52128109967762e-06,1.26983950475559e-06,-1.40370651049446e-06,5.81617833196958e-07,7.00459672834631e-07,-1.81788055938355e-06,6.73523298585702e-08,3.84247888870719e-06,-3.836009227751e-06,-1.73840104672823e-06,-4.48077054373807e-07
-2.82177538468918e-06,-8.89754112206636e-07,-2.76434875885984e-06,-7.17467797048193e-07,-2.11056638093764e-06,-1.84360769656927e-06,-3.5705466624162e-06,-7.62707762367681e-07,2.53616764024033e-06,-5.68735912154288e-07,-7.03090132006996e-06,-2.6856540643328e-06,-2.00109547227385e-06,-9.03009139236176e-07,3.46759543932134e-07,-1.539121798327e-06,3.24367385551216e-06,-1.6805450864805e-06,-1.30793494463676e-06,7.77901723501263e-07,3.02522965113475e-06,-1.24309985957069e-06,-3.05866542718803e-07,-1.73610087489822e-06,-3.09639503463725e-06,5.09850443388551e-08,4.85068879127001e-06,-1.06318521423424e-05,-7.70616667901741e-06,1.67763198764573e-07,1.03173104101824e-06,-9.71117947464166e-07,2.88926591671768e-06,-1.8580587702573e-06,1.4151312894667e-06,-2.22891970747397e-06,-4.68174891641357e-07,-3.67855411304162e-07,3.62084796290533e-06,-2.51007975788691e-06,-2.58502516468935e-07,1.13434165770488e-07,1.13140201642835e-06,-1.95927646143256e-06,-1.32825197741556e-05,6.08420094606025e-06,-1.41175468816393e-07,2.97361055596908e-07,1.07403159855227e-05,-1.71842638501458e-05,7.42455083442469e-07,-3.84956140831715e-07,-2.62338287306142e-06,7.21142206292293e-08,1.96862095048076e-06,-1.12292183341856e-06,-2.79230576970361e-06,6.73686754287326e-07,-2.5797190826967e-06,-2.58176826426343e-07,2.21917508991153e-07,-8.26290715069921e-06,1.0900304014964e-06,-1.42381955188322e-06,4.60470528704643e-07,7.04091755452089e-07,-1.88496810142391e-06,5.97480753142697e-08,3.68933037626901e-06,-3.84027632765497e-06,-2.02919957334206e-06,-4.34597062499486e-07
-2.95880274128787e-06,-8.90964009803951e-07,-2.82684589287724e-06,-7.10365476473338e-07,-2.31415533541731e-06,-1.83124131241152e-06,-3.66174865627098e-06,-7.66959480499626e-07,2.48273230811898e-06,-5.7323000248555e-07,-7.1587666570446e-06,-2.6821944786395e-06,-2.11326870186088e-06,-9.17048377350675e-07,2.40958758157513e-07,-1.55167855868201e-06,3.03546024337018e-06,-1.68438480170448e-06,-1.31558201366453e-06,7.83141024282521e-07,3.06105857152244e-06,-1.2630297212546e-06,-3.67599922893147e-07,-1.71570617242701e-06,-3.08779988308306e-06,-1.0783657733585e-08,4.94908172402554e-06,-1.07412552522037e-05,-7.85922414978231e-06,2.79072926434643e-07,9.29725375099659e-07,-9.89130107615825e-07,2.82819184804538e-06,-1.86121582490846e-06,1.07588002143669e-06,-1.94906060424976e-06,-5.7013081603875e-07,-3.09078164677779e-07,3.46531547818145e-06,-2.51739722971637e-06,-2.70939182769743e-07,1.24251479625763e-07,1.12336889417988e-06,-1.94136326002192e-06,-1.26576967059015e-05,5.65473244927483e-06,-1.52401538291086e-07,3.01009916740168e-07,1.08211076492668e-05,-1.72537105604359e-05,8.00103829056794e-07,-3.90132708187871e-07,-2.59374557902562e-06,1.03778910323805e-07,1.91217407955837e-06,-1.01010480051552e-06,-2.90153937730493e-06,6.45595524910421e-07,-2.68504691329297e-06,-1.46992682138159e-07,1.75243563049375e-07,-7.98907377648954e-06,9.05100993333801e-07,-1.44248419329045e-06,3.36982690256949e-07,7.09718151334293e-07,-1.95038610626219e-06,5.1957336193934e-08,3.53060361133524e-06,-3.8406759730573e-06,-2.31295536051977e-06,-4.22100367688246e-07
-3.10076863875229e-06,-8.90839939151905e-07,-2.89027727575785e-06,-7.02145437145065e-07,-2.52184570024744e-06,-1.81773565011891e-06,-3.75525979531234e-06,-7.71189142335981e-07,2.42430928564754e-06,-5.77590520983182e-07,-7.28491305301729e-06,-2.67793242791014e-06,-2.22899439035544e-06,-9.31099219208935e-07,1.29779694982291e-07,-1.56261026752861e-06,2.82033766333912e-06,-1.68796332875666e-06,-1.32386851798289e-06,7.87771178687755e-07,3.09910668736695e-06,-1.28345896931814e-06,-4.29328931672527e-07,-1.69259486308581e-06,-3.07842067079281e-06,-7.39998019455366e-08,5.03457308653297e-06,-1.08337706624574e-05,-8.00450806799523e-06,3.86556377302653e-07,8.24200149017334e-07,-1.00450496752869e-06,2.76592448272614e-06,-1.86347556777658e-06,7.43372531121623e-07,-1.67199027563687e-06,-6.72758389901274e-07,-2.49339015527539e-07,3.30956355333133e-06,-2.52411187548204e-06,-2.84255737214352e-07,1.35027849731108e-07,1.1143442690886e-06,-1.92237246137814e-06,-1.20239248856702e-05,5.21761273564855e-06,-1.64081052982485e-07,3.04918542839192e-07,1.08958591040163e-05,-1.73142310677515e-05,8.54130918184535e-07,-3.96220135220292e-07,-2.5634182720786e-06,1.34984638958639e-07,1.84782589102133e-06,-8.92511085477151e-07,-3.01016197620638e-06,6.15620580927419e-07,-2.7864239372002e-06,-3.47528072318046e-08,1.14865489616515e-07,-7.69949534849968e-06,7.15726464251049e-07,-1.45976037933802e-06,2.11180932101959e-07,7.17430127789591e-07,-2.0138285575598e-06,4.39947788725628e-08,3.3664766707765e-06,-3.83701720916465e-06,-2.58828386260165e-06,-4.10741244003605e-07
-3.24721187255328e-06,-8.89384813459319e-07,-2.95436133149445e-06,-6.92811060632546e-07,-2.73304274898983e-06,-1.80309927662837e-06,-3.85077163593315e-06,-7.75394712578777e-07,2.36080992502395e-06,-5.81799573141573e-07,-7.40860068463672e-06,-2.67285075771704e-06,-2.34805269021188e-06,-9.45151774793561e-07,1.37043436571205e-08,-1.57196316796463e-06,2.59879547542211e-06,-1.69124091680032e-06,-1.33281631177526e-06,7.91817369076814e-07,3.13933816623553e-06,-1.30433739925102e-06,-4.90899575710312e-07,-1.66674759670236e-06,-3.06784406696787e-06,-1.3884410114911e-07,5.10721506524783e-06,-1.09092273311507e-05,-8.1414752988538e-06,4.89571132681249e-07,7.15456998030746e-07,-1.01713714094135e-06,2.70269393197301e-06,-1.86481821162139e-06,4.18769093185783e-07,-1.39861682050556e-06,-7.75719247697449e-07,-1.88821018068107e-07,3.15400520947936e-06,-2.5301621138665e-06,-2.98419785691912e-07,1.45750394503659e-07,1.10442993438797e-06,-1.90244561664898e-06,-1.138281635734e-05,4.7743740339226e-06,-1.76238921142243e-07,3.09110490585158e-07,1.0963998687807e-05,-1.73657150630236e-05,9.04541626492924e-07,-4.03193025673287e-07,-2.53252755545203e-06,1.65543581475688e-07,1.77564631241507e-06,-7.70271325388422e-07,-3.11773957650223e-06,5.83759207208212e-07,-2.88314093814277e-06,7.7987890645832e-08,3.98135973062449e-08,-7.39389225255918e-06,5.22584849676119e-07,-1.47571132952569e-06,8.3084255854371e-08,7.27305312049709e-07,-2.0750002833659e-06,3.58751888617876e-08,3.19712679797627e-06,-3.82911700351093e-06,-2.8538491045597e-06,-4.00670440520644e-07
-3.3976523809528e-06,-8.8660550316937e-07,-3.01881121503346e-06,-6.82368795139023e-07,-2.94714314782019e-06,-1.78734538681337e-06,-3.94796693527113e-06,-7.79574022393394e-07,2.29214284976144e-06,-5.85842323635549e-07,-7.52909518133586e-06,-2.66693631493281e-06,-2.47020957292833e-06,-9.5919583613416e-07,-1.06766280405167e-07,-1.57978927285658e-06,2.37133645346065e-06,-1.69417973341452e-06,-1.34244540563832e-06,7.9530810201269e-07,3.18167801708833e-06,-1.32560796921632e-06,-5.52171132408362e-07,-1.63815144342428e-06,-3.0556780923267e-06,-2.05490689063952e-07,5.16714141209379e-06,-1.09675568362945e-05,-8.26957972359287e-06,5.87479611837144e-07,6.0379836870227e-07,-1.02694345226727e-06,2.63872985374158e-06,-1.86522507791974e-06,1.03200593226271e-07,-1.12984978310935e-06,-8.78667016371712e-07,-1.27713957974343e-07,2.99902493707506e-06,-2.53547965394616e-06,-3.13394415894236e-07,1.56406286794138e-07,1.09372313379591e-06,-1.88171884125141e-06,-1.07358884042972e-05,4.32646778493233e-06,-1.8890063105329e-07,3.1360902036638e-07,1.10249782604081e-05,-1.74080637703063e-05,9.51357927345023e-07,-4.11023118749603e-07,-2.50119372271251e-06,1.95277965244063e-07,1.69573221976082e-06,-6.43533519982452e-07,-3.22384624590864e-06,5.50011189100335e-07,-2.97451683475478e-06,1.9067653880008e-07,-5.08288637047261e-08,-7.07199549530104e-06,3.26353497642115e-07,-1.49040271533246e-06,-4.72944411563608e-08,7.39406496461931e-07,-2.1336187433589e-06,2.76134728026682e-08,3.02273020550054e-06,-3.81680174977382e-06,-3.10837262251596e-06,-3.92033689354457e-07
-3.55159388110885e-06,-8.82512864019896e-07,-3.08333659143574e-06,-6.70828260788361e-07,-3.16353833003463e-06,-1.77049188642711e-06,-4.04652189795143e-06,-7.83724828833899e-07,2.21821360308822e-06,-5.8970742738292e-07,-7.64567331743234e-06,-2.66017999702483e-06,-2.5952174889464e-06,-9.73220903200042e-07,-2.31114915775429e-07,-1.58614601772571e-06,2.13847403323335e-06,-1.69674409679825e-06,-1.35277393419716e-06,7.98275235595844e-07,3.22601079757484e-06,-1.34720649575351e-06,-6.13016739376302e-07,-1.60680031778855e-06,-3.04155502188429e-06,-2.74105916925779e-07,5.21456531486761e-06,-1.10087924032597e-05,-8.38827490244013e-06,6.79653028941274e-07,4.8952638260494e-07,-1.03386360716709e-06,2.57426029139808e-06,-1.86467876012672e-06,-2.02236107104536e-07,-8.66596214499122e-07,-9.81248830659274e-07,-6.62135626044115e-08,2.8449760712318e-06,-2.53998952208092e-06,-3.29138247096308e-07,1.66982708772367e-07,1.08231579925849e-06,-1.86032195934854e-06,-1.00845593795828e-05,3.87525831016458e-06,-2.02092114239675e-07,3.18436946638218e-07,1.10782775457736e-05,-1.74411911484811e-05,9.94618425871981e-07,-4.19679502797125e-07,-2.46953038482818e-06,2.24020804948145e-07,1.60820680865149e-06,-5.12462579532624e-07,-3.32806666798697e-06,5.14379307831858e-07,-3.0599042931492e-06,3.02766220634002e-07,-1.57918702004915e-07,-6.73355202659238e-06,1.27705641001582e-07,-1.50390182648842e-06,-1.79946642680591e-07,7.53780493717838e-07,-2.18941572394725e-06,1.92246637866227e-08,2.84346193675325e-06,-3.79990874406848e-06,-3.35064205536355e-06,-3.84970252119764e-07
-3.7085265653664e-06,-8.77121751232877e-07,-3.14764544368112e-06,-6.5820234382055e-07,-3.38161788216979e-06,-1.75256144448763e-06,-4.14610843920659e-06,-7.87844867465565e-07,2.13892444674623e-06,-5.93387423913986e-07,-7.75762861524112e-06,-2.65257675666712e-06,-2.7228160939337e-06,-9.87216206430833e-07,-3.58810910272115e-07,-1.59109589062207e-06,1.90072956721649e-06,-1.69890068410815e-06,-1.36381811438919e-06,8.00753987123741e-07,3.27217957390806e-06,-1.36906136042712e-06,-6.73323854425552e-07,-1.57269539594715e-06,-3.02513410231749e-06,-3.44847122165379e-07,5.249776646229e-06,-1.10330672377418e-05,-8.49701698301359e-06,7.65475489484984e-07,3.72941820840869e-07,-1.03786068043722e-06,2.50951051393369e-06,-1.86316328666002e-06,-4.96482782918206e-07,-6.097566639963e-07,-1.08310692063388e-06,-4.52068271433409e-09,2.69217847587225e-06,-2.54361017726464e-06,-3.45605494378004e-07,1.774668030632e-07,1.07029385880454e-06,-1.83837773688026e-06,-9.43014578104507e-06,3.42201747782942e-06,-2.15839600245379e-07,3.23616492714034e-07,1.11234083886586e-05,-1.74650252052255e-05,1.03437822498447e-06,-4.2912883671637e-07,-2.43764414962163e-06,2.51616515630865e-07,1.51321879478009e-06,-3.77239752657239e-07,-3.42999861266488e-06,4.76869861951574e-07,-3.13869512495261e-06,4.13719828799077e-07,-2.82245724559402e-07,-6.37833062694988e-06,-7.26929107740452e-08,-1.51627673738667e-06,-3.14866323113288e-07,7.70457063337997e-07,-2.24213892985757e-06,1.07239290084232e-08,2.65949576298818e-06,-3.77828761581407e-06,-3.57951932628891e-06,-3.79611520168569e-07
