S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
6.87987304784974e-06,-6.61598997346756e-07,3.1209295749771e-07,-6.9227499762437e-07,1.91976367598226e-06,-7.36405712192232e-07,1.87587275977224e-06,-9.81306367437489e-08,1.76192697381107e-06,1.12720348052796e-07,1.05463105074381e-05,-3.97022654163037e-06,2.40304862851808e-06,5.42837589249122e-07,1.97181542195753e-06,2.98771240193121e-07,2.16425618310492e-06,-9.92432425176919e-07,5.24348788191418e-07,9.32856861077913e-07,-2.0166556094081e-07,1.28866365549655e-07,-5.25577285939971e-07,-2.54349267774688e-07,-1.04173235962809e-06,4.94465286930779e-07,-3.32484725392903e-06,2.9134501810799e-06,1.39690586611566e-06,-3.27922958953192e-07,-2.92228193180346e-06,2.52712831019868e-07,-1.73503561829935e-06,-8.58059408649571e-08,-1.45009167234361e-06,-1.37422999840939e-06,-1.71388546763968e-06,-9.74558744176069e-08,5.99994618490213e-08,8.87151120295739e-09,-6.96027150523966e-07,4.17020628577629e-08,5.8269333589601e-07,6.50981017402898e-07,2.08908915309284e-07,-9.82901951749011e-07,-2.32989907024078e-07,6.5035253113865e-07,3.77741616558515e-06,-1.01911643474685e-06,1.52877551164825e-06,5.76829087320428e-08,2.82051764401087e-06,-6.52229311331032e-07,1.32573145018851e-06,3.41715609200324e-08,5.75452160137479e-06,-1.22374466508461e-06,3.47967834922419e-06,-9.12836266119601e-08,2.12875835982385e-06,2.12054306860883e-06,2.16232265421712e-06,5.37043810090575e-07,1.79069609060529e-06,-2.1514901572044e-07,8.44314265734246e-07,-2.39077358224359e-07,2.08164133073346e-06,-1.72127965160155e-06,6.35517379791652e-06,-3.21181175908529e-06
6.98358384187803e-06,-6.61447393087736e-07,3.42894050923795e-07,-7.0444112399273e-07,1.96192619969602e-06,-7.45617463758463e-07,1.94462209870529e-06,-1.13740541160821e-07,1.81290356499187e-06,9.17885975039947e-08,1.06578111021598e-05,-4.04265805606098e-06,2.43930466375775e-06,5.2752849873211e-07,2.04931014123821e-06,2.88665453687377e-07,2.13106871284164e-06,-1.05656786216917e-06,5.69911701413242e-07,9.04128178545473e-07,-1.69393503543355e-07,1.3349987035646e-07,-4.08799422744826e-07,-2.92551408144186e-07,-9.9603250722116e-07,5.22497142927634e-07,-3.31704849065102e-06,2.86936047335649e-06,1.44550601414676e-06,-3.35370129161911e-07,-2.80854684025569e-06,2.29881367555011e-07,-1.68942181746797e-06,-9.83408075442984e-08,-1.50018562238496e-06,-1.31644102835181e-06,-1.67985914548653e-06,-1.29135715123634e-07,1.01378384689391e-07,-5.49192759926618e-09,-6.88446627092927e-07,5.42741069702612e-08,6.61577430868619e-07,6.44167345353498e-07,1.26460837435325e-07,-9.25656766831673e-07,-1.75681404443104e-07,6.40322950043897e-07,3.97057071720734e-06,-1.07269661168465e-06,1.50582548380004e-06,9.75536727324646e-08,2.85892436611833e-06,-6.50245515874935e-07,1.32738901129948e-06,3.19523847227167e-08,5.77821973940867e-06,-1.22610804781992e-06,3.52033072079902e-06,-9.97888255791923e-08,2.46110054982573e-06,1.80379531825373e-06,2.23436369952107e-06,5.21523702072139e-07,1.84554725277312e-06,-2.12580774642308e-07,8.97154795552703e-07,-2.36451336758722e-07,2.09615550295205e-06,-1.77063844719676e-06,6.52913448520291e-06,-3.24757439249012e-06
7.08512447213804e-06,-6.60403046581305e-07,3.73539665697713e-07,-7.16062939445122e-07,2.00388656312759e-06,-7.53665076650076e-07,2.01150101019043e-06,-1.29181332351453e-07,1.86012007012154e-06,7.12875869754189e-08,1.07597533661495e-05,-4.11386103194072e-06,2.47147669486174e-06,5.11983245296517e-07,2.12441332309565e-06,2.78333559949882e-07,2.08792437167046e-06,-1.12206731790161e-06,6.17223769126836e-07,8.72590210941494e-07,-1.36973975524421e-07,1.37639650141492e-07,-2.90428780669411e-07,-3.31503081465067e-07,-9.49242456468373e-07,5.51758563872833e-07,-3.31227259765527e-06,2.8271753807946e-06,1.49057888360414e-06,-3.42705945381721e-07,-2.69039055533619e-06,2.03264766975342e-07,-1.64226348566077e-06,-1.10750733800607e-07,-1.54905066181947e-06,-1.25654379659972e-06,-1.64406984208739e-06,-1.60721236519905e-07,1.46467902803998e-07,-1.95246341135144e-08,-6.79923417606899e-07,6.75983303824091e-08,7.37669359954809e-07,6.39696519071927e-07,4.32312336767819e-08,-8.65120814463242e-07,-1.17534381986626e-07,6.29446702220949e-07,4.16141712219844e-06,-1.12836333168067e-06,1.47952408275015e-06,1.38896105495857e-07,2.89582595926779e-06,-6.48505444434216e-07,1.32785166463882e-06,3.00132274028047e-08,5.79719836847656e-06,-1.22721257763674e-06,3.5597771162258e-06,-1.07946374851787e-07,2.7793140712071e-06,1.48816228647826e-06,2.30733353419982e-06,5.05304511990238e-07,1.90039788093145e-06,-2.09677318347894e-07,9.50282530404681e-07,-2.33742606651184e-07,2.11466755655398e-06,-1.81780876283505e-06,6.70380063645402e-06,-3.2808908728967e-06
7.18434734579702e-06,-6.58489446543478e-07,4.04221864089449e-07,-7.27088076856442e-07,2.04583507718108e-06,-7.60472054093396e-07,2.07651690934895e-06,-1.44453627494795e-07,1.90361701159169e-06,5.12571149572155e-08,1.08517867908526e-05,-4.18358817012495e-06,2.49956744216934e-06,4.96202831828487e-07,2.19695122619789e-06,2.67771571519183e-07,2.03496149727511e-06,-1.18881044397482e-06,6.66226960717798e-07,8.38325905533026e-07,-1.04530138952099e-07,1.41217811524271e-07,-1.70655539361881e-07,-3.71296450734622e-07,-9.01542458784137e-07,5.82093406786102e-07,-3.31011274989114e-06,2.78685030220735e-06,1.53213424582005e-06,-3.49996487378953e-07,-2.56806445348918e-06,1.7277744034297e-07,-1.59358327714889e-06,-1.23041861792576e-07,-1.59641791761377e-06,-1.19475937969496e-06,-1.60644755061944e-06,-1.92154613684586e-07,1.95140870610055e-07,-3.31295076613802e-08,-6.70380883256002e-07,8.16205634952663e-08,8.10721881522699e-07,6.37673021406744e-07,-4.06304102839775e-08,-8.01114223473202e-07,-5.86243850552906e-08,6.17709842543383e-07,4.34955112364262e-06,-1.18603687813113e-06,1.44984977182342e-06,1.81646946215718e-07,2.93114590671374e-06,-6.47001090895275e-07,1.32720832404536e-06,2.83774104675184e-08,5.81144055841892e-06,-1.22701498604171e-06,3.59795569882976e-06,-1.1572643951301e-07,3.08220408892307e-06,1.17687095721287e-06,2.38106105387645e-06,4.88383881768897e-07,1.95504505496091e-06,-2.0651657927822e-07,1.00346780286601e-06,-2.3101277518634e-07,2.13723338879584e-06,-1.86282153629779e-06,6.87881637625653e-06,-3.31175509943702e-06
7.28110636387239e-06,-6.55732877346848e-07,4.35138744918769e-07,-7.37462596148718e-07,2.0879497979827e-06,-7.65965425775867e-07,2.13968315972091e-06,-1.59558339675781e-07,1.9434518706838e-06,3.17356628183387e-08,1.09335631241448e-05,-4.25158825178653e-06,2.52359544710639e-06,4.80189071513993e-07,2.26675828990465e-06,2.56976258621881e-07,1.9723594883054e-06,-1.25666882299974e-06,7.16858770669923e-07,8.01423540925524e-07,-7.21891643241235e-08,1.44168278994316e-07,-4.96701521568753e-08,-4.12023969447415e-07,-8.53103242520718e-07,6.13325493890797e-07,-3.31015925936994e-06,2.74834825461617e-06,1.57019789883451e-06,-3.57305154845987e-07,-2.44183347715768e-06,1.38354523842017e-07,-1.54340996073293e-06,-1.35221102816805e-07,-1.64201765751757e-06,-1.13131804395593e-06,-1.56693234059737e-06,-2.23377660962337e-07,2.47252328793763e-07,-4.62070677744373e-08,-6.59747131035282e-07,9.62848658681415e-08,8.80499799746378e-07,6.38182765318804e-07,-1.24968646187776e-07,-7.33470835370467e-07,9.65028631557246e-10,6.05099848790637e-07,4.53458819679762e-06,-1.24564134557182e-06,1.41678685015255e-06,2.25732756489602e-07,2.96480733809682e-06,-6.45720765046521e-07,1.32555060026604e-06,2.70670243449042e-08,5.82094220479805e-06,-1.22547948105093e-06,3.63480095546393e-06,-1.23102590757815e-07,3.36862573864463e-06,8.73240785446124e-07,2.4553618532651e-06,4.70758812746909e-07,2.00927674295851e-06,-2.03181211649875e-07,1.05647315882418e-06,-2.28324496531993e-07,2.16387741205144e-06,-1.90571389874531e-06,7.05379762479539e-06,-3.3401624516275e-06
7.37525707273164e-06,-6.52162316919636e-07,4.66492540549735e-07,-7.47131337026337e-07,2.13039462439162e-06,-7.70076329888621e-07,2.20101855260686e-06,-1.74496583601212e-07,1.97969839735801e-06,1.27602982642559e-08,1.10047373454321e-05,-4.31760717462773e-06,2.5435944184469e-06,4.63944655605647e-07,2.33367826495017e-06,2.45945258898899e-07,1.90033761318446e-06,-1.32550641928952e-06,7.69051775459292e-07,7.61977023577461e-07,-4.00812980189572e-08,1.46427206561034e-07,7.23371500247166e-08,-4.53777556952113e-07,-8.04084950598941e-07,6.45259398007988e-07,-3.31200302428581e-06,2.71164047811893e-06,1.60481094495578e-06,-3.64692176258975e-07,-2.31197514392899e-06,9.9952602104348e-08,-1.49177842111048e-06,-1.4729604522396e-07,-1.68558085628443e-06,-1.066457868626e-06,-1.52547492658952e-06,-2.54332142550477e-07,3.02640261882799e-07,-5.86563518121192e-08,-6.47955743239955e-07,1.11534056163319e-07,9.467810016183e-07,6.41292683262313e-07,-2.09623421200119e-07,-6.62039124966992e-07,6.11426797751071e-08,5.916058179664e-07,4.71616466048501e-06,-1.30710469338504e-06,1.38032526774929e-06,2.71070484394835e-07,2.99673350360054e-06,-6.446493697103e-07,1.32297202821799e-06,2.61027260579092e-08,5.8257120807267e-06,-1.22257821658049e-06,3.67024384026988e-06,-1.30052041586643e-07,3.63749915729756e-06,5.80649851413854e-07,2.53003925532495e-06,4.52425789641476e-07,2.06287331664581e-06,-1.99757904929916e-07,1.1090548395459e-06,-2.25740991144472e-07,2.19459257913689e-06,-1.9465287813703e-06,7.22833420615968e-06,-3.36610994443785e-06
7.46665684565203e-06,-6.47809350899946e-07,4.98487624868265e-07,-7.56038315974691e-07,2.17331753965618e-06,-7.72740600443718e-07,2.26054672926075e-06,-1.89269590826388e-07,2.012445802797e-06,-5.63342694235795e-09,1.10649688424056e-05,-4.38138905257519e-06,2.55961249594501e-06,4.47473209755885e-07,2.39756527299153e-06,2.3467717954727e-07,1.8191536286852e-06,-1.39518006646547e-06,8.22733136203191e-07,7.20086254695018e-07,-8.33892519259592e-09,1.47933380671474e-07,1.95176760942223e-07,-4.96647680950007e-07,-7.54636232440681e-07,6.77681434754541e-07,-3.31523868351238e-06,2.67670689211268e-06,1.63602895936094e-06,-3.72214149943809e-07,-2.17877842622364e-06,5.75502180281252e-08,-1.43872963847178e-06,-1.59274852540382e-07,-1.72684083058532e-06,-1.00042327448022e-06,-1.48203716780138e-06,-2.84960087064381e-07,3.61126440888071e-07,-7.03758304823816e-08,-6.3494649571125e-07,1.27310247345875e-07,1.00935736400543e-06,6.47050488046885e-07,-2.94431418286837e-07,-5.86683128378473e-07,1.21810191830445e-07,5.77218665851201e-07,4.89393858679581e-06,-1.37035873944347e-06,1.34046043480649e-06,3.17568089742728e-07,3.02684826948268e-06,-6.43768714998628e-07,1.31956728815123e-06,2.55035401398786e-08,5.82577180344749e-06,-1.21829167140209e-06,3.70421196247657e-06,-1.36555846765115e-07,3.88782438668047e-06,3.02499830549145e-07,2.60488541768663e-06,4.33380956428008e-07,2.11560912956845e-06,-1.96336645329715e-07,1.16096432533423e-06,-2.23325558006216e-07,2.22934055861606e-06,-1.98531449045745e-06,7.40199213964215e-06,-3.3895964135852e-06
7.55516508585266e-06,-6.42708101383084e-07,5.31328448340444e-07,-7.64127166033888e-07,2.21684900893641e-06,-7.73899355724368e-07,2.31829555315296e-06,-2.03878634658044e-07,2.04179783954763e-06,-2.3411584198428e-08,1.11139227867176e-05,-4.44267737558867e-06,2.57171143884822e-06,4.3077933876811e-07,2.45828478388027e-06,2.23171690823928e-07,1.7291022110036e-06,-1.4655399908022e-06,8.7782407775161e-07,6.75857533110668e-07,2.29043635228009e-08,1.48628609911166e-07,3.18660021321887e-07,-5.40722372612904e-07,-7.04893506195972e-07,7.10360865327973e-07,-3.31946748231473e-06,2.64353639532824e-06,1.66392106284665e-06,-3.79923624779538e-07,-2.04254256507397e-06,1.11482219371646e-08,-1.38431064721084e-06,-1.71166154055937e-07,-1.7655349452625e-06,-9.33463465669352e-07,-1.43659249525405e-06,-3.15204103226504e-07,4.22517341934337e-07,-8.12643308071409e-08,-6.2066606484765e-07,1.43555384963479e-07,1.06803552936992e-06,6.55484612251051e-07,-3.79227370801619e-07,-5.07283364396914e-07,1.82862442771927e-07,5.61931327234328e-07,5.06759051141732e-06,-1.43533909671764e-06,1.29719303336881e-06,3.65125219433242e-07,3.05507662153563e-06,-6.43057862444219e-07,1.31543142654859e-06,2.52866642877366e-08,5.82115571240501e-06,-1.21260893950192e-06,3.73662981201692e-06,-1.42599065506877e-07,4.11869604582886e-06,4.2179995726286e-08,2.67968250452787e-06,4.13620342006625e-07,2.16725413342912e-06,-1.93009924353402e-07,1.21194992599186e-06,-2.2114108294487e-07,2.26805205442059e-06,-2.02212425316988e-06,7.57431607892743e-06,-3.41062272194828e-06
7.64064343381743e-06,-6.36895167271279e-07,5.65217414633707e-07,-7.71341616130375e-07,2.26110053282354e-06,-7.73499583049863e-07,2.37429643672975e-06,-2.18324964253684e-07,2.06787177204832e-06,-4.05419785417509e-08,1.11512716932118e-05,-4.5012162246422e-06,2.57996574413433e-06,4.13868660179811e-07,2.51571449628812e-06,2.11429610091362e-07,1.63051319783166e-06,-1.53643036911034e-06,9.34239363155276e-07,6.29403966963598e-07,5.35146901345411e-08,1.48458097800833e-07,4.42599465644804e-07,-5.86086197916685e-07,-6.54980407294405e-07,7.43051310259223e-07,-3.32429983045712e-06,2.61212693298289e-06,1.68856891116953e-06,-3.87868731276479e-07,-1.90357592476946e-06,-3.92299563836956e-08,-1.32857447778718e-06,-1.82978929782515e-07,-1.80140639604541e-06,-8.65830796243843e-07,-1.3891262663273e-06,-3.45007694370049e-07,4.86605127566777e-07,-9.12219564146705e-08,-6.05068725731886e-07,1.60211784555155e-07,1.12263756028359e-06,6.66604313368039e-07,-4.63845333329016e-07,-4.2373775510932e-07,2.44188036708447e-07,5.45738953201776e-07,5.23682394641086e-06,-1.50198505588174e-06,1.25052884165992e-06,4.13633920964072e-07,3.08134516076643e-06,-6.42493483558357e-07,1.31065908347642e-06,2.54672798253861e-08,5.81191065859156e-06,-1.20552793658927e-06,3.7674190173233e-06,-1.48170886307273e-07,4.32931763891065e-06,-1.96969448384953e-07,2.75420391222149e-06,3.93140131030499e-07,2.21757551031506e-06,-1.89871899053245e-07,1.26175840232027e-06,-2.19249546371246e-07,2.31062726174017e-06,-2.05701573402591e-06,7.74483186401808e-06,-3.42919198032276e-06
7.72295596333762e-06,-6.30409573116201e-07,6.00352715164353e-07,-7.77626005373488e-07,2.30616335883299e-06,-7.71494713852608e-07,2.42858362795118e-06,-2.32609747601669e-07,2.09079724233527e-06,-5.69942603166008e-08,1.117669714553e-05,-4.55675153633261e-06,2.58446170103667e-06,3.96747827399489e-07,2.56974510977099e-06,1.99452975601432e-07,1.52374964229667e-06,-1.60768991964172e-06,9.91886780222184e-07,5.80845867694241e-07,8.335878151317e-08,1.47370795980569e-07,5.66808992158503e-07,-6.32819203163201e-07,-6.05007433395378e-07,7.75492368682277e-07,-3.32935756790595e-06,2.58248529274564e-06,1.71006561334973e-06,-3.96092874225768e-07,-1.76219498273349e-06,-9.35380507119358e-08,-1.27158008468526e-06,-1.94722391840472e-07,-1.83420605703051e-06,-7.97779086737205e-07,-1.33963604659552e-06,-3.74315568915363e-07,5.53168679195832e-07,-1.00150996371847e-07,-5.88117036529274e-07,1.77222658626301e-07,1.17300148976709e-06,6.80399920639573e-07,-5.48119880814279e-07,-3.35962574105679e-07,3.05669791166332e-07,5.28639100974714e-07,5.40136570123454e-06,-1.57023941374824e-06,1.20047858528216e-06,4.62979381893892e-07,3.10558258036572e-06,-6.42050215828666e-07,1.3053437351944e-06,2.60583669019036e-08,5.79809571492e-06,-1.19705552776659e-06,3.79649863634658e-06,-1.53264713933988e-07,4.51901517623644e-06,-4.11694091018947e-07,2.82821553682761e-06,3.71936978117263e-07,2.26633930570799e-06,-1.87017514024861e-07,1.31013660509437e-06,-2.17711534091106e-07,2.3569364575719e-06,-2.09005052142481e-06,7.9130491618833e-06,-3.44530977871461e-06
